Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Slider Control #3	Slider #2
	Frame		
	0	0.000698637	
	1	0.000985931	
	2	0.000988352	
	3	0.00109131	
	4	0.00130517	
	5	0.00139323	
	6	0.00188887	
	7	0.00182834	
	8	0.00783257	
	9	0.014731	
	10	0.135303	
	11	0.144851	
	12	0.133661	
	13	0.116508	
	14	0.104228	
	15	0.0990622	
	16	0.0823338	
	17	0.0798602	
	18	0.352642	
	19	0.226897	
	20	0.144979	
	21	0.126017	
	22	0.107609	
	23	0.0877387	
	24	0.0788817	
	25	0.0795317	
	26	0.0687703	
	27	0.159088	
	28	0.195361	
	29	0.186031	
	30	0.157683	
	31	0.140622	
	32	0.123559	
	33	0.11513	
	34	0.092393	
	35	0.0819605	
	36	0.0740741	
	37	0.066562	
	38	0.0591406	
	39	0.0580733	
	40	0.0594619	
	41	0.0532612	
	42	0.0671032	
	43	0.209334	
	44	0.251623	
	45	0.26691	
	46	0.217426	
	47	0.182689	
	48	0.166214	
	49	0.144948	
	50	0.130275	
	51	0.113682	
	52	0.109976	
	53	0.0983993	
	54	0.117267	
	55	0.088247	
	56	0.0665581	
	57	0.065778	
	58	0.0644101	
	59	0.0672409	
	60	0.238189	
	61	0.204723	
	62	0.193041	
	63	0.205496	
	64	0.18452	
	65	0.179563	
	66	0.134368	
	67	0.110901	
	68	0.0952714	
	69	0.0914394	
	70	0.0778897	
	71	0.0796091	
	72	0.0773603	
	73	0.0901001	
	74	0.0861267	
	75	0.0992132	
	76	0.125695	
	77	0.16337	
	78	0.312934	
	79	0.257262	
	80	0.241001	
	81	0.201085	
	82	0.18705	
	83	0.153885	
	84	0.157625	
	85	0.143106	
	86	0.155274	
	87	0.130788	
	88	0.139597	
	89	0.0921821	
	90	0.083851	
	91	0.0712481	
	92	0.0677859	
	93	0.0730492	
	94	0.0669563	
	95	0.306919	
	96	0.31794	
	97	0.27728	
	98	0.213787	
	99	0.185403	
	100	0.129154	
	101	0.109785	
	102	0.0794382	
	103	0.34992	
	104	0.355664	
	105	0.299456	
	106	0.225538	
	107	0.161262	
	108	0.131364	
	109	0.150993	
	110	0.145427	
	111	0.255922	
	112	0.523824	
	113	0.357722	
